Player,Position,Team,Opp,DPA Avg,FPTS Avg,PASS_TD Avg,PASS_YDS Avg,PASS_ATT Avg,PASS_CMP Avg,INT Avg,RUSH_TD Avg,RUSH_YDS Avg,RUSH_ATT Avg,REC_TD Avg,REC_YDS Avg,REC Avg,ANYTIME_TD Avg,SACK Avg,DraftKings,FanDuel,PrizePicks,Underdog,Fav,Spread,O/U,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Player Salary,Player Image,Tournament,Game Start Time
Marcus Stokes,QB,MEMP,UNLV,0,31.55,2.17,298.85,28.52,17.67,1.17,0.75,60.86,12.73,,,,0.26,0,30.05,30.05,30.05,30.05,,,,,,,,,,,,
D'Wanye' Winfield,QB,UL,UL@USC,,30.55,1.28,230,,,0.66,1.38,66,,,,,0.63,,28.54,28.54,28.54,28.54,,,,,,,,,,,,
Demond Williams Jr.,QB,WASH,WASHST,,29.69,1.97,270.91,24.5,17.5,0.69,0.7,65.18,13.09,,,,0,,28.7444,28.7444,28.7444,28.7444,,,,,,,,,,,,
Brad Jackson,QB,TXST,TEX,,29.55,1.4,245.08,,,0.63,1.31,57.01,13.14,,,,0.5,,28.3342,28.3342,28.3342,28.3342,,,,,,,,,,,,
Caden Creel,QB,JAXST,NDST,0,28.39,1.41,207.51,,,0.49,0.75,96.27,18.38,,,,0.5,0,27.5774,27.5774,27.5774,27.5774,,,,,,,,,,,,
Arch Manning,QB,TEX,TXST,,28.32,2.36,279.51,27.78,21.02,0.71,0.77,19.72,7.09,,1,,0,,26.6024,26.6024,26.6024,26.6024,,,,,,,,,,,,
Carlos Del Rio-Wilson,QB,MRSH,PSU,,26.77,1.91,231.7,30.5,17.5,0.56,0.6,61.17,13.89,,,,0.38,,26.065,26.065,26.065,26.065,,,,,,,,,,,,
Cale Hellums,QB,ARMY,BRYANT,,26.77,0.43,68.66,,,0.23,1.73,116.4,24.91,,3,,1.55,,26.5564,26.5564,26.5564,26.5564,,,,,,,,,,,,
Devon Dampier,QB,UTAH,IDAHO,,26.43,1.89,241.05,24.5,15.27,0.47,0.6,49.88,12.13,,,,1.02,,25.32,25.32,25.32,25.32,,,,,,,,,,,,
Drew Mestemaker,QB,OKST,TLSA,,26.37,2.48,314.4,34.5,23.5,0.92,0.43,8.73,4.97,,,,0,,25.029,25.029,25.029,25.029,,,,,,,,,,,,
