Player Name,Position,Team,Slate Type,Date,Role,Salary,Draftable ID,Projected FP,Combined FP,Value,Implied FP,Passing TDs,Rushing Yards,Receiving Yards,Passing Yards,Rush+Rec Yards,Anytime TD,Passing Attempts,Fantasy Score,Headshot URL,Game Start Time,Match Title (Underdog),Game Short Title (Underdog),Venue Name (Underdog),Venue Type (Underdog),Broadcasts (Underdog),Game Start Time (DRAFTTABLE)
Katin Houser,CPT,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),16800,43999068,22.46,25.82,1.34,50.4,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Arch Manning,QB,TEX,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",9300,43974206,24,24.54,2.58,27.9,1.5,22.5,,248.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/8240.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/5/2026
Jayden Maiava,QB,USC,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",8500,44006403,24.12,24.26,2.84,25.5,1.5,10.5,,230,,,27.5,23.45,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Jayden Maiava,QB,USC,Night,9/4/2026,"Night 9/4 9:00PM, 2 Games",8500,44009267,24.12,24.26,2.84,25.5,1.5,10.5,,230,,,27.5,23.45,https://dkn.gs/sports/images/cfb/teams/50/8080.png,n/a,FRES @ USC,Fresno St @ USC,Los Angeles Memorial Coliseum,outdoor,FOX,9/4/2026
Noah Kim,CPT,EMU,Showdown Captain Mode,9/4/2026,Showdown Captain Mode 9/4 6:30PM (SJSU @ EMU),16200,44009171,17.73,23.91,1.09,48.6,,,,,,,,,https://dkn.gs/sports/images/cfb/teams/50/7997.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Katin Houser,QB,IL,Showdown Captain Mode,9/3/2026,Showdown Captain Mode 9/3 9:00PM (UAB @ IL),11200,43998988,22.46,23.8,2.01,33.6,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
John Mateer,QB,OU,Night,9/4/2026,"Night 9/4 8:00PM, 4 Games",9000,44006401,23.14,23.68,2.57,27,1.5,24.5,,217.5,,,,,https://dkn.gs/sports/images/cfb/teams/50/7811.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/4/2026
Katin Houser,QB,IL,Thursday,9/3/2026,"Thursday 9/3 6:00PM (Thu-Thu), 4 Games",8300,43973396,22.46,22.76,2.71,24.9,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Katin Houser,QB,IL,Night,9/3/2026,"Night 9/3 8:00PM, 2 Games",8300,43997471,22.46,22.76,2.71,24.9,1.5,9.5,,239,,,26.5,,https://dkn.gs/sports/images/cfb/teams/50/7823.png,12/30/1899,n/a,n/a,n/a,n/a,n/a,9/3/2026
Byrum Brown,QB,AUB,Night,9/5/2026,"Night 9/5 12:00PM, 12 Games",7800,43974230,22.65,22.74,2.9,23.4,1.5,51,,226,,,32.5,,https://dkn.gs/sports/images/cfb/teams/50/8183.png,n/a,BAY @ AUB,Baylor @ Auburn,Mercedes-Benz Stadium,retractable_dome,ABC,9/5/2026
